user_id,user_name,user_screenname,user_url,user_description,user_followers,user_friends,created,text,hashtags,mentions,urls,tweet_id,is_quote_status,favorite_count,retweet_count,reply_status_id,lang,source,location,query
2326251343,✨ Trey Hunner @ PyCon🐍,treyhunner,https://t.co/qDkBLRFeFl,Python & Django team trainer🎓 @PythonChat host💖 Curator of @PythonMorsels🐍 Former director at @ThePSF. 👥 Thought follower 🤔 #pythonoddity he/him,5185,364,2019-04-30T18:55:00,"RT @ericholscher: I'm headed to #pycon2019 on Wednesday. If you are too, remember to use the Pac-Man Rule to make the event more welcoming…",['pycon2019'],"[(11385212, 'ericholscher')]",[],1123299731914969088,False,0,73,,en,Buffer,,#pycon since:2019-04-30 until:2019-05-01
721471761976393728,Diane Chen,PurpleDiane88,https://t.co/Fw0NpGz6fY,"Python Instructor, programmer, artist. She/her. UCSD Extension class: https://t.co/3beR2WN6o6. I love python, pugs, and painting. And alliteration, apparently.",543,601,2019-04-30T18:12:59,"RT @treyhunner: ""The sprints are a great place for a first-time open source contributor."" https://t.co/Khk8uPYAjk #pycon #pycon2019","['pycon', 'pycon2019']","[(2326251343, 'treyhunner')]",['http://trey.io/BldLoH'],1123289158091362304,False,0,4,,en,Twitter Web App,,#pycon since:2019-04-30 until:2019-05-01
44126316,Dⓐniel Chen @pycon,chendaniely,https://t.co/WjPaQAQShi,PhD student @virginia_tech. MPH @cuepidemiology. Author. #DataScientist. @swcarpentry instructor #OpenScience advocate. #rstats and #pythonista.,878,590,2019-04-30T18:05:53,The calm before the #pycon2019 #pycon storm https://t.co/sPb4tAHYZg,"['pycon2019', 'pycon']",[],[],1123287369623404545,False,8,0,,en,Twitter for Android,,#pycon since:2019-04-30 until:2019-05-01
40291925,commandasaurus 🦕 | SFO,amcasari,https://t.co/uL62WD4t3l,Multi-vector enginerd brought to you by 🐍 + the letter R. DevRel @ Google Cloud. Board @VetsWhoCode + Navy veteran. @OReillyMedia author. [she/her] tweets = me,1972,1997,2019-04-30T18:05:52,@theavalkyrie @JustinBeckwith @MylesBorins I brought all 8 flavors of GS cookies with me to #PyCon to conduct scien… https://t.co/b7Pgd59snU,['PyCon'],"[(9726122, 'theavalkyrie'), (41165883, 'JustinBeckwith'), (150664007, 'MylesBorins')]",['https://twitter.com/i/web/status/1123287366343413760'],1123287366343413760,False,7,0,1123266168641343491,en,Twitter Web Client,,#pycon since:2019-04-30 until:2019-05-01
15874287,Chris May,_ChrisMay,https://t.co/eqUzOka2Yz,Web developer and PyRVA co-founder. I love making things that make the world better for people.,81,220,2019-04-30T17:58:58,RT @sashacuerda: Anyone looking for a ticket to #PyCon in a few days? I had a medical issue that is keeping me from travel 😫 and am looking…,['PyCon'],"[(38064163, 'sashacuerda')]",[],1123285629121462274,False,0,9,,en,Twitter Web Client,,#pycon since:2019-04-30 until:2019-05-01
19750055,Phoenix Coffee Co.,PhoenixCoffeeCo,https://t.co/lsy6iW90Cz,"Cleveland's specialty coffee roaster. Saving the world by serving a damn fine cup of coffee. Five cafes. Roasting coffee in sunny Cleveland, OH since 1990.",5539,2195,2019-04-30T17:57:22,@zooba welcome back!! We &lt;3 when #PyCon is here ✨,['PyCon'],"[(7202792, 'zooba')]",[],1123285227420385282,False,1,0,1123237676503719936,en,TweetDeck,,#pycon since:2019-04-30 until:2019-05-01
752419783140925440,Karina Klinkevičiūtė,karina__in,https://t.co/3AP8O2nAQN,Programmer. Vegan for animals and environment. Feminist. Genderqueer. Polyamorous. Pronoun: they. Very mediocre person but that's ok.,272,1068,2019-04-30T17:56:19,RT @sashacuerda: Anyone looking for a ticket to #PyCon in a few days? I had a medical issue that is keeping me from travel 😫 and am looking…,['PyCon'],"[(38064163, 'sashacuerda')]",[],1123284964508876800,False,0,9,,en,Twitter Web Client,,#pycon since:2019-04-30 until:2019-05-01
321984188,T. Wouters,Yhg1s,,"Python developer, Googler, Python Software Foundation board member. (He/him or they/them.)",551,177,2019-04-30T17:40:51,RT @sashacuerda: Anyone looking for a ticket to #PyCon in a few days? I had a medical issue that is keeping me from travel 😫 and am looking…,['PyCon'],"[(38064163, 'sashacuerda')]",[],1123281071058059264,False,0,9,,en,Twitter Web Client,,#pycon since:2019-04-30 until:2019-05-01
717077528024911873,🅕ⓤⓝⓚⓨ🅑ⓞⓑ🧻,BunkyFob,,"""I don't need you to teach me faith. I have seen the sun set. I will see the sun rise."" Living at the speed of life.",289,291,2019-04-30T17:40:40,RT @sashacuerda: Anyone looking for a ticket to #PyCon in a few days? I had a medical issue that is keeping me from travel 😫 and am looking…,['PyCon'],"[(38064163, 'sashacuerda')]",[],1123281023108669440,False,0,9,,en,Twitter Web Client,,#pycon since:2019-04-30 until:2019-05-01
26402904,Lacey Williams Henschel,laceynwilliams,https://t.co/xlx555zOdt,@djangocon | @revsys | she/her. I love writing tests.,3247,476,2019-04-30T17:39:49,RT @sashacuerda: Anyone looking for a ticket to #PyCon in a few days? I had a medical issue that is keeping me from travel 😫 and am looking…,['PyCon'],"[(38064163, 'sashacuerda')]",[],1123280812038709248,False,0,9,,en,Twitter Web Client,,#pycon since:2019-04-30 until:2019-05-01
16337443,Fatty McFat Fat,esacteksab,,Addicted to boost. I make computers do things. Pew. Pew. Vroom. Vroom.  Squirrel! I talk entirely too much about my cars and trucks. Tweets are someone else's.,784,358,2019-04-30T17:39:48,RT @sashacuerda: Anyone looking for a ticket to #PyCon in a few days? I had a medical issue that is keeping me from travel 😫 and am looking…,['PyCon'],"[(38064163, 'sashacuerda')]",[],1123280805864837123,False,0,9,,en,Twitter Web App,,#pycon since:2019-04-30 until:2019-05-01
